restaurant_id,restaurant_name,cuisine_type,borough,timestamp,date,hour,day_of_week,is_weekend,is_rush_hour,guests_served,queue_length,table_count,avg_wait_minutes,revenue_usd,avg_check_usd,party_size
R001,Luigi's Italian,Italian,,2025-01-01 11:00:00,2025-01-01,11,2,0,0,21.0,5,35,1.0,525.0,25,2.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-01 12:00:00,2025-01-01,12,2,0,1,32.0,10,35,12.0,1120.0,35,1.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-01 13:00:00,2025-01-01,13,2,0,1,32.0,11,35,11.0,1120.0,35,1.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-01 14:00:00,2025-01-01,14,2,0,0,19.0,6,35,0.0,665.0,35,1.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-01 15:00:00,2025-01-01,15,2,0,0,18.0,9,35,7.0,810.0,45,1.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-01 16:00:00,2025-01-01,16,2,0,0,14.0,5,35,7.0,490.0,35,1.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-01 17:00:00,2025-01-01,17,2,0,0,22.0,6,35,0.0,990.0,45,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-01 18:00:00,2025-01-01,18,2,0,1,33.0,9,35,5.0,,35,3.0
R001,Luigi's Italian,Italian,MANHATTAN,2025-01-01 19:00:00,2025-01-01,19,2,0,1,45.0,10,35,11.0,1575.0,35,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-01 20:00:00,2025-01-01,20,2,0,1,36.0,10,35,19.0,1620.0,45,2.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-01 21:00:00,2025-01-01,21,2,0,0,17.0,3,35,6.0,765.0,45,2.0
R001,Luigi's Italian,Italian,,2025-01-01 22:00:00,2025-01-01,22,2,0,0,24.0,8,35,7.0,840.0,35,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-02 11:00:00,2025-01-02,11,3,0,0,14.0,8,35,0.0,350.0,25,1.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-02 12:00:00,2025-01-02,12,3,0,1,38.0,5,35,4.0,1710.0,45,2.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-02 13:00:00,2025-01-02,13,3,0,1,29.0,12,35,16.0,725.0,25,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-02 14:00:00,2025-01-02,14,3,0,0,20.0,4,35,0.0,700.0,35,4.0
R001,Luigi's Italian,ITALIAN,Manhattan,2025-01-02 15:00:00,2025-01-02,15,3,0,0,14.0,4,35,0.0,630.0,45,5.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-02 16:00:00,2025-01-02,16,3,0,0,,5,35,1.0,675.0,45,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-02 17:00:00,2025-01-02,17,3,0,0,-6.0,7,35,6.0,400.0,25,2.0
R001,Luigi's Italian,Italian,,2025-01-02 18:00:00,2025-01-02,18,3,0,1,37.0,15,35,9.0,1295.0,35,2.0
R001,Luigi's Italian,Italian,manhattan,2025-01-02 19:00:00,2025-01-02,19,3,0,1,33.0,13,35,11.0,825.0,25,2.0
R001,Luigi's Italian,ITALIAN,Outer Borough,2025-01-02 20:00:00,2025-01-02,20,3,0,1,45.0,20,35,14.0,1575.0,35,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-02 21:00:00,2025-01-02,21,3,0,0,14.0,1,35,0.0,630.0,45,7.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-02 22:00:00,2025-01-02,22,3,0,0,25.0,9,35,8.0,625.0,25,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-03 11:00:00,2025-01-03,11,4,0,0,26.0,11,35,10.0,1170.0,45,6.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-03 12:00:00,2025-01-03,12,4,0,1,36.0,16,35,18.0,,35,4.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-03 13:00:00,2025-01-03,13,4,0,1,45.0,14,35,9.0,1575.0,35,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-03 14:00:00,2025-01-03,14,4,0,0,15.0,1,35,1.0,675.0,45,2.0
R001,Luigi's Italian,italian,Manhattan,2025-01-03 15:00:00,2025-01-03,15,4,0,0,12.0,3,35,,420.0,35,3.0
R001,Luigi's Italian,Italian,MANHATTAN,2025-01-03 16:00:00,2025-01-03,16,4,0,0,18.0,4,35,0.0,810.0,45,5.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-03 17:00:00,2025-01-03,17,4,0,0,21.0,6,35,14.0,735.0,35,2.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-03 18:00:00,2025-01-03,18,4,0,1,33.0,4,35,11.0,1485.0,45,4.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-03 19:00:00,2025-01-03,19,4,0,1,35.0,12,35,9.0,,25,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-03 20:00:00,2025-01-03,20,4,0,1,38.0,12,35,2.0,1330.0,35,5.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-03 21:00:00,2025-01-03,21,4,0,0,20.0,3,35,,500.0,25,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-03 22:00:00,2025-01-03,22,4,0,0,17.0,6,35,7.0,425.0,25,
R001,Luigi's Italian,,manhattan,2025-01-04 11:00:00,2025-01-04,11,5,1,0,26.0,7,35,6.0,1170.0,45,2.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-04 12:00:00,2025-01-04,12,5,1,1,37.0,12,35,15.0,1295.0,35,2.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-04 13:00:00,2025-01-04,13,5,1,1,,20,35,16.0,2745.0,45,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-04 14:00:00,2025-01-04,14,5,1,0,29.0,15,35,,725.0,25,6.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-04 15:00:00,2025-01-04,15,5,1,0,14.0,8,35,8.0,350.0,25,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-04 16:00:00,2025-01-04,16,5,1,0,22.0,5,35,6.0,550.0,25,4.0
R001,Luigi's Italian,Italian,Westworld,2025-01-04 17:00:00,2025-01-04,17,5,1,0,27.0,12,35,7.0,945.0,35,1.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-04 18:00:00,2025-01-04,18,-1,1,1,36.0,14,35,,1260.0,35,7.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-04 19:00:00,2025-01-04,19,5,1,1,44.0,21,35,21.0,1980.0,45,
R001,Luigi's Italian,,Manhattan,2025-01-04 20:00:00,2025-01-04,20,5,1,1,46.0,18,35,23.0,,35,
R001,Luigi's Italian,Italian,Manhattan,2025-01-04 21:00:00,2025-01-04,21,5,1,0,31.0,16,35,4.0,775.0,25,3.0
R001,Luigi's Italian,Italian,MANHATTAN,2025-01-04 22:00:00,2025-01-04,22,5,1,0,20.0,8,35,,-37.0,45,5.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-05 11:00:00,2025-01-05,11,6,1,0,35.0,13,35,15.0,1575.0,45,2.0
R001,Luigi's Italian,Italian,MANHATTAN,2025-01-05 12:00:00,2025-01-05,12,6,1,1,49.0,22,35,18.0,1715.0,35,2.0
R001,Luigi's Italian,italian,Manhattan,2025-01-05 13:00:00,2025-01-05,13,6,1,1,55.0,19,35,19.0,1375.0,25,4.0
R001,Luigi's Italian,Italian,manhattan,2025-01-05 14:00:00,2025-01-05,14,6,1,0,24.0,10,35,9.0,600.0,25,4.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-05 15:00:00,2025-01-05,15,6,1,0,,3,35,0.0,840.0,35,6.0
R001,Luigi's Italian,Italian,MANHATTAN,2025-01-05 16:00:00,2025-01-05,16,6,1,0,20.0,11,35,15.0,500.0,25,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-05 17:00:00,2025-01-05,17,6,1,0,18.0,3,35,0.0,450.0,25,
R001,Luigi's Italian,Italian,Manhattan,2025-01-05 18:00:00,2025-01-05,18,6,1,1,45.0,11,35,14.0,1125.0,25,2.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-05 19:00:00,2025-01-05,19,6,1,1,41.0,8,35,0.0,1025.0,25,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-05 20:00:00,2025-01-05,20,6,1,1,50.0,22,35,19.0,1250.0,25,5.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-05 21:00:00,2025-01-05,21,6,1,0,,9,35,2.0,800.0,25,
R001,Luigi's Italian,Italian,Manhattan,2025-01-05 22:00:00,2025-01-05,22,6,1,0,23.0,8,35,8.0,575.0,25,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-06 11:00:00,2025-01-06,11,0,0,0,18.0,3,35,0.0,450.0,25,5.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-06 12:00:00,2025-01-06,12,0,0,1,,17,35,8.0,950.0,25,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-06 13:00:00,2025-01-06,13,0,0,1,37.0,12,35,5.0,1295.0,35,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-06 14:00:00,2025-01-06,14,0,0,0,19.0,3,35,0.0,475.0,25,2.0
R001,Luigi's Italian,,Manhattan,2025-01-06 15:00:00,2025-01-06,15,0,0,0,11.0,3,35,0.0,275.0,25,4.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-06 16:00:00,2025-01-06,16,0,0,0,26.0,8,35,9.0,910.0,35,2.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-06 17:00:00,2025-01-06,17,0,0,0,19.0,4,35,7.0,,25,4.0
R001,Luigi's Italian,Italian,NAN,2025-01-06 18:00:00,2025-01-06,18,0,0,1,41.0,14,35,9.0,1025.0,25,6.0
R001,Luigi's Italian,italian,Manhattan,2025-01-06 19:00:00,2025-01-06,19,0,0,1,28.0,9,35,11.0,980.0,35,3.0
R001,Luigi's Italian,Italian,manhattan,2025-01-06 20:00:00,2025-01-06,20,0,0,1,33.0,10,35,7.0,1155.0,35,2.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-06 21:00:00,2025-01-06,21,0,0,0,17.0,8,35,6.0,425.0,25,1.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-06 22:00:00,2025-01-06,22,0,0,0,22.0,7,35,7.0,770.0,35,4.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-07 11:00:00,2025-01-07,11,1,0,0,24.0,7,35,9.0,840.0,35,4.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-07 12:00:00,2025-01-07,12,1,0,1,37.0,11,35,16.0,1665.0,45,3.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-07 13:00:00,2025-01-07,13,1,0,1,34.0,19,35,19.0,1190.0,35,
R001,Luigi's Italian,Italian,Manhattan,2025-01-07 14:00:00,2025-01-07,14,1,0,0,19.0,10,35,20.0,855.0,45,5.0
R001,Luigi's Italian,Italian,MANHATTAN,2025-01-07 15:00:00,2025-01-07,15,1,0,0,24.0,5,35,0.0,840.0,35,6.0
R001,Luigi's Italian,Italian,Manhattan,2025-01-07 16:00:00,2025-01-07,16,1,0,0,16.0,5,35,0.0,560.0,35,3.0
